Address, Latitude, Longitude, Price, Price/Sqft
"6918 van etten, houston (TX)",29.700902,-95.382636,649900,182.402469829
"4330 s macgregor, houston (TX)",29.71017,-95.34627,650000,168.655941879
"3302 parkwood dr, houston (TX)",29.707869,-95.371582,600000,157.728706625
"4014 fernwood drive, houston (TX)",29.705658,-95.352321,490000,155.95162317
"6334 w mystic meadows, houston (TX)",29.708935,-95.380891,489000,138.723404255
"3747 griggs rd, houston (TX)",29.705187,-95.358928,380000,143.830431491
"2314 camden, houston (TX)",29.71112,-95.381977,349000,153.880070547
"2412 charleston, houston (TX)",29.709707,-95.380556,325000,135.416666667
"5527 ardmore st, houston (TX)",29.71118,-95.372125,325000,101.183063512
"2417 charleston, houston (TX)",29.710243,-95.379797,304900,185.124468731
"2415 charleston, houston (TX)",29.710157,-95.37983,299900,182.088646023
"4124 fernwood drive, houston (TX)",29.707475,-95.349342,299900,138.139106403
"2434 charleston, houston (TX)",29.709779,-95.379343,294900,179.052823315
"2423 charleston, houston (TX)",29.710288,-95.379566,294900,212.924187726
"2920 payson, houston (TX)",29.700055,-95.384237,199900,119.557416268
"3817 rebecca st, houston (TX)",29.681774,-95.368055,179000,49.7222222222
"3519 nathaniel brown st, houston (TX)",29.688544,-95.372609,164990,82.701754386
"3336 ozark st, houston (TX)",29.705882,-95.370854,160000,96.5018094089
"5008 old spanish trail, houston (TX)",29.707832,-95.338073,150000,82.056892779
"3336 tampa st, houston (TX)",29.705209,-95.37116,144900,113.91509434
"3205 charleston, houston (TX)",29.708087,-95.374036,134900,105.721003135
"7214 conley st, houston (TX)",29.685003,-95.36069,134999,92.023858214
"3748 parkwood dr, houston (TX)",29.706603,-95.358202,131000,89.4808743169
"7128 eastwood, houston (TX)",29.685082,-95.356236,129500,71.9444444444
"7126 eastwood, houston (TX)",29.685232,-95.356411,129500,71.9444444444
"5142 cortelyou ln, houston (TX)",29.700163,-95.333536,129000,93.2080924855
"7247 saint augustine, houston (TX)",29.702743,-95.354123,124000,70.0564971751
"5314 tallow ln, houston (TX)",29.702914,-95.336722,119900,62.4804585722
"4943 gammage, houston (TX)",29.702015,-95.33927,119900,62.5130344108
"6612 paris st, houston (TX)",29.691386,-95.350468,118000,85.0144092219
"3410 goodhope, houston (TX)",29.685012,-95.377465,115000,79.8611111111
"4715 arvilla ln, houston (TX)",29.70455,-95.343341,115000,74.2894056848
"5131 nassau rd, houston (TX)",29.703605,-95.33163,111500,71.4743589744
"3617 mainer st., houston (TX)",29.684932,-95.370869,110000,78.5714285714
"3516 mt. pleasant, houston (TX)",29.687526,-95.373354,110000,99.0099009901
"5210 cosby st, houston (TX)",29.691623,-95.338552,105000,79.2452830189
"3636 dreyfus, houston (TX)",29.688438,-95.369417,103000,64.375
"5115 keystone st, houston (TX)",29.694756,-95.339106,99900,74.552238806
"6804 new york st, houston (TX)",29.688759,-95.352368,89900,43.4719535783
"4926 idaho, houston (TX)",29.686073,-95.346653,89900,66.5925925926
"6314 culberson st, houston (TX)",29.70309,-95.367456,90000,63.2911392405
"5318 cortelyou, houston (TX)",29.699528,-95.330678,90000,45.3629032258
"5038 arvilla ln, houston (TX)",29.706557,-95.336045,87900,40.5442804428
"6618 dumble, houston (TX)",29.690929,-95.348118,84900,65.5598455598
"3626 alberta st, houston (TX)",29.695431,-95.365625,85000,80.9523809524
"7314 conley st, houston (TX)",29.68347,-95.361565,82500,65.8945686901
"5126 keystone st, houston (TX)",29.694155,-95.338751,82000,59.3342981187
"4850 marietta, houston (TX)",29.704414,-95.339163,81400,63.7931034483
"3914 alberta st, houston (TX)",29.694018,-95.360648,81500,64.4778481013
"3706 alberta st, houston (TX)",29.695256,-95.364903,79500,52.0287958115
"3526 ozark st, houston (TX)",29.704638,-95.36506,78000,80.412371134
"3307 kilgore st, houston (TX)",29.703839,-95.373109,74900,61.5953947368
"7009 saint augustine st, houston (TX)",29.688547,-95.359863,72500,66.0893345488
"5511 beekman rd, houston (TX)",29.699121,-95.329929,71000,56.0821484992
"5230 keystone street, houston (TX)",29.693569,-95.336777,69900,77.0672546858
"5829 goforth, houston (TX)",29.701299,-95.35103,68844,56.5221674877
"5103 winnetka st., houston (TX)",29.708454,-95.334184,69000,49.8554913295
"3530 rebecca st, houston (TX)",29.68326,-95.374308,68500,63.8992537313
"4946 winfree dr, houston (TX)",29.700719,-95.339447,68500,52.8957528958
"7020 goforth, houston (TX)",29.687503,-95.357278,64900,40.5625
"5904 schroeder rd, houston (TX)",29.698202,-95.341275,59900,40.2824478816
"3822 dreyfus st, houston (TX)",29.687067,-95.365477,59900,42.7857142857
"7305 saint augustine st, houston (TX)",29.683821,-95.361745,59900,60.0200400802
"3522 seabrook st, houston (TX)",29.686478,-95.372447,59900,75.6313131313
"3706 amos st, houston (TX)",29.688448,-95.367715,60000,57.5815738964
"6811 conley st, houston (TX)",29.690077,-95.358357,59000,60.2040816327
"3422 noah st, houston (TX)",29.686899,-95.376207,55000,63.1458094145
"3550 nathaniel brown st, houston (TX)",29.687787,-95.37175,54100,52.2200772201
"3538 griggs rd, houston (TX)",29.70613,-95.363959,49900,43.3913043478
"3511 seabrook street, houston (TX)",29.687182,-95.373203,49950,44.5982142857
"4918 gammage street, houston (TX)",29.701827,-95.340377,50000,39.6196513471
"3910 zephyr st, houston (TX)",29.69839,-95.35911,44900,38.9756944444
"4009 alice st, houston (TX)",29.689334,-95.36019,42000,44.1176470588
"6703 saint augustine, houston (TX)",29.702743,-95.354123,40000,62.1118012422
"5227 enyart st, houston (TX)",29.690935,-95.33784,38900,43.6098654709
"6408 sherwood dr, houston (TX)",29.696387,-95.358316,34900,38.2675438596
"6202 sherwood dr, houston (TX)",29.699425,-95.357098,34900,42.7696078431
