Address, Latitude, Longitude, Price, Price/Sqft
"1010 s shepherd dr, houston (TX)",29.756602,-95.408725,769000,215.5269058
"12922 hermitage ln, houston (TX)",29.765627,-95.56423,765000,208.7882096
"5523 val verde st, houston (TX)",29.736212,-95.475115,765000,207.6547231
"4230 amherst st, houston (TX)",29.71548,-95.446617,763000,257.9445571
"14026 hampton cove, houston (TX)",29.742283,-95.634837,757500,164.3167028
"5314 lampasas st, houston (TX)",29.733912,-95.4691,749995,209.8475098
"5314 Lampasas, Houston (TX)",29.733912,-95.4691,725000,202.8539452
"12107 Laguna Terrace Dr, Houston (TX)",29.856676,-95.58991,710000,129.3260474
"4115 SWARTHMORE ST, Houston (TX)",29.713651,-95.443586,689900,299.9565217
"718 Magdalene Drive, Houston (TX)",29.774567,-95.527743,684950,286.7099205
"102 WARRENTON DR, Houston (TX)",29.754861,-95.542866,675000,244.1229656
"13923 KIMBERLEY LN, Houston (TX)",29.776368,-95.589332,650000,153.0131827
"1904 w 14th, houston (TX)",29.7953,-95.417103,649900,208.3012821
"5214 BRISTOL BANK CT, Houston (TX)",29.845049,-95.599216,649000,150.5102041
"15707 bristol lake drive, houston (TX)",29.999215,-95.574713,649000,159.5770838
"14019 champions hamlet ct, houston (TX)",29.99207,-95.524419,639900,104.1843048
"9610 moonlight dr, houston (TX)",29.675461,-95.474547,624900,183.9022955
"5406 Kings Ransom, Houston (TX)",29.848787,-95.614728,615000,114.8888474
"8102 Wateka, Houston (TX)",29.69032,-95.524452,599500,126.0513036
"1511 missouri 6, houston (TX)",29.745243,-95.395802,599000,200.8718981
"14855 PERTHSHIRE RD, Houston (TX)",29.773509,-95.613073,589000,201.7123288
"4714 Devon, Houston (TX)",29.735771,-95.456611,575000,294.5696721
"6105 hamman st, houston (TX)",29.775862,-95.423645,575000,234.8856209
"14610 Running Arabian Ln, Houston (TX)",29.938875,-95.179009,574900,101.0369069
"13923 woodthorpe, houston (TX)",29.77553,-95.589225,560000,175.6587202
"Cottage Landing, Houston (TX)",29.752374,-95.63359,549900,156.9349315
"12223 Broken Bough, Houston (TX)",29.771968,-95.543844,549900,222.1818182
"230 malone, houston (TX)",29.764031,-95.418975,539900,186.1082385
"14206 jade cove dr, houston (TX)",29.746027,-95.636738,530000,173.4860884
"935 Bayou Parkway, Houston (TX)",29.770399,-95.628527,525000,122.7208976
"15911 BAYOU RIVER, Houston (TX)",29.774705,-95.64198,500000,108.577633
"6114 DURANGO BAY LN, Houston (TX)",29.861645,-95.598224,499900,115.4503464
"10306 chevy chase dr, houston (TX)",29.744896,-95.576854,499000,164.4693474
"9142 westview, houston (TX)",29.794407,-95.515425,498000,212.0954003
"2115 gostick st, houston (TX)",29.805555,-95.391361,479900,185.2895753
"12227 cobblestone dr, houston (TX)",29.771178,-95.544098,455000,161.3475177
"13827 greenwood, houston (TX)",29.922116,-95.183494,449900,108.7765957
"12814 rock falls way, houston (TX)",29.842042,-95.603462,449000,101.7217943
"6323 COLLINA SPRINGS CT, Houston (TX)",29.860506,-95.588704,445000,114.484178
"4107 markham, houston (TX)",29.733365,-95.443422,439000,245.2513966
"914 main st., houston (TX)",29.75774,-95.364951,435000,207.6372315
"5315 GOLDEN WINGS CT, Houston (TX)",29.845979,-95.608504,429999,93.60013061
"4903 valkeith, houston (TX)",29.675015,-95.460657,426900,182.1245734
"4313 langtry ln, houston (TX)",29.834779,-95.521053,425883,178.3429648
"5411 SUMMER FALLS, Houston (TX)",29.845934,-95.595553,425000,134.4511231
"5123 Carew, Houston (TX)",29.687967,-95.469418,424000,151.4285714
"1502 antoine dr, houston (TX)",29.79647,-95.475362,415000,218.4210526
"1130 DARIA DR, Houston (TX)",29.771173,-95.641993,400000,85.83690987
"3918 PINESBURY DRIVE, Houston (TX)",29.830282,-95.679679,399900,99.20615232
"1534 kennebeck pl, houston (TX)",29.756726,-95.629904,399900,119.3375112
"1122 RIDGECROSSING LN, Houston (TX)",29.76654,-95.625899,399900,127.6819923
"4607 floyd, houston (TX)",29.768262,-95.407632,399900,178.367529
"2611 riverside dr. unit g, houston (TX)",29.71577,-95.374037,399900,142.7704391
"8702 Hollow Banks, Houston (TX)",29.904013,-95.67984,399500,103.7662338
"710 LAST ARROW DR, Houston (TX)",29.777714,-95.628541,399000,134.7972973
"837 w 17th, houston (TX)",29.800965,-95.413829,399000,140.0983146
"908 patterson, houston (TX)",29.769538,-95.406092,394900,170.6568712
"5411 SUMMER FALLS, Houston (TX)",29.845934,-95.595553,389900,123.3470421
"16006 chart house ct, houston (TX)",29.956192,-95.163815,380000,89.85575786
"10034 doliver dr, houston (TX)",29.749492,-95.550739,379900,152.8157683
"1507 blair st, houston (TX)",29.798363,-95.40707,379900,190.1401401
"13507 S TRACEWOOD BEND, Houston (TX)",29.761715,-95.626253,379000,148.2785603
"1742 LAKESIDE ENCLAVE DR, Houston (TX)",29.749039,-95.622289,379000,114.9181322
"14631 CINDYWOOD DR, Houston (TX)",29.766753,-95.608327,379000,141.8413174
"811 W. 42nd Street, Houston (TX)",29.824863,-95.415846,375360,170
